,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2021-05-01,5,2021-05-01,20.299999999999997,41.73076923076923,91.53846153846153,990.3846153846152,117.76923076923077,4.661538461538461,58.38461538461539,146.23076923076923,183.46153846153845
2021-05-02,5,2021-05-02,23.87142857142857,27.935714285714287,63.357142857142854,981.4071428571427,206.92857142857142,5.707142857142857,582.6428571428571,114.35714285714286,545.1428571428571
2021-05-03,5,2021-05-03,27.80714285714286,29.414285714285715,63.57142857142857,978.2857142857144,182.0,5.392857142857143,525.7142857142857,137.71428571428572,542.9285714285714
2021-05-04,5,2021-05-04,23.857142857142858,32.98571428571429,67.07142857142857,987.2357142857143,224.57142857142858,6.371428571428572,252.21428571428572,216.5,400.85714285714283
2021-05-05,5,2021-05-05,21.307142857142857,14.285714285714288,48.57142857142857,995.7142857142857,30.071428571428573,4.249999999999999,714.3571428571429,84.14285714285714,593.5714285714286
2021-05-06,5,2021-05-06,23.746666666666666,18.566666666666666,51.8,997.7266666666667,51.666666666666664,3.206666666666666,664.4666666666667,83.26666666666667,546.6
2021-05-07,5,2021-05-07,24.879999999999995,21.446666666666665,49.93333333333333,997.0000000000001,120.73333333333333,3.5733333333333333,444.1333333333333,175.73333333333332,468.93333333333334
2021-05-08,5,2021-05-08,24.84666666666667,30.026666666666664,68.2,989.9,173.4,6.3533333333333335,218.66666666666666,227.0,399.2
2021-05-09,5,2021-05-09,26.69333333333333,42.086666666666666,67.86666666666666,986.0133333333332,176.06666666666666,5.24,63.86666666666667,252.0,294.3333333333333
2021-05-10,5,2021-05-10,22.5,38.028571428571425,89.71428571428571,988.8285714285715,38.42857142857143,3.342857142857143,32.785714285714285,258.64285714285717,279.0
2021-05-11,5,2021-05-11,20.964285714285715,42.90714285714285,88.0,990.1285714285715,30.857142857142858,2.892857142857143,15.357142857142858,141.85714285714286,156.14285714285714
2021-05-12,5,2021-05-12,17.23333333333333,33.260000000000005,84.6,996.9133333333334,15.066666666666666,5.213333333333334,131.0,200.53333333333333,301.1333333333333
2021-05-13,5,2021-05-13,19.38,23.82,65.06666666666666,1000.7399999999999,29.533333333333335,3.7866666666666666,18.933333333333334,238.13333333333333,254.46666666666667
2021-05-14,5,2021-05-14,22.733333333333338,25.646666666666665,58.93333333333333,998.3399999999998,120.6,3.0733333333333333,268.2,235.4,440.46666666666664
2021-05-15,5,2021-05-15,23.560000000000002,32.559999999999995,68.93333333333334,994.6466666666666,152.6,5.1800000000000015,11.533333333333333,181.4,190.46666666666667
2021-05-16,5,2021-05-16,23.153333333333332,41.03999999999999,83.4,990.9333333333335,157.86666666666667,4.346666666666668,133.33333333333334,190.46666666666667,289.46666666666664
2021-05-17,5,2021-05-17,23.993333333333332,39.773333333333326,85.33333333333333,988.3266666666666,116.8,3.2066666666666666,95.6,165.26666666666668,219.06666666666666
2021-05-18,5,2021-05-18,24.82,41.720000000000006,78.46666666666667,985.9733333333334,136.13333333333333,4.366666666666666,49.8,184.6,207.8
2021-05-19,5,2021-05-19,20.557142857142857,33.33571428571429,87.21428571428571,987.4285714285716,159.64285714285714,3.6428571428571423,1.5,114.5,114.78571428571429
2021-05-20,5,2021-05-20,23.02142857142857,31.892857142857142,69.42857142857143,989.5071428571428,135.85714285714286,1.4642857142857142,418.85714285714283,182.92857142857142,519.0714285714286
2021-05-21,5,2021-05-21,25.473333333333333,30.74,67.33333333333333,992.4399999999999,120.2,2.833333333333334,234.46666666666667,238.93333333333334,423.3333333333333
2021-05-22,5,2021-05-22,24.139999999999997,47.03333333333334,81.06666666666666,994.26,123.46666666666667,6.266666666666667,8.8,194.4,198.26666666666668
2021-05-23,5,2021-05-23,21.826666666666664,47.806666666666665,92.66666666666667,995.8999999999999,109.06666666666666,4.14,0.0,130.26666666666668,130.26666666666668
2021-05-24,5,2021-05-24,23.553333333333335,46.04,84.8,993.7533333333334,140.8,3.9066666666666667,91.2,244.6,327.1333333333333
2021-05-25,5,2021-05-25,25.333333333333332,43.67999999999999,79.8,992.9266666666667,165.6,4.013333333333334,200.73333333333332,216.0,389.26666666666665
2021-05-26,5,2021-05-26,26.89333333333333,37.78666666666667,73.8,994.5666666666665,171.06666666666666,4.673333333333333,202.6,225.73333333333332,356.06666666666666
2021-05-27,5,2021-05-27,26.773333333333333,39.53999999999999,72.66666666666667,992.72,167.8,4.96,314.73333333333335,197.6,457.26666666666665
2021-05-28,5,2021-05-28,26.73333333333333,47.86666666666667,77.4,990.8999999999999,151.13333333333333,3.3866666666666663,79.86666666666666,241.93333333333334,293.0
2021-05-29,5,2021-05-29,25.321428571428573,41.207142857142856,72.07142857142857,991.35,159.35714285714286,2.0142857142857147,394.92857142857144,154.5,489.7142857142857
2021-05-30,5,2021-05-30,25.166666666666664,36.6,76.26666666666667,993.1266666666667,109.8,3.5266666666666664,214.6,228.6,395.8666666666667
2021-05-31,5,2021-05-31,24.666666666666668,43.08666666666667,79.6,994.3799999999999,146.2,4.0600000000000005,35.46666666666667,278.6,308.8666666666667
2021-06-01,6,2021-06-01,24.34,38.10666666666667,77.6,993.6666666666667,286.8666666666667,2.4533333333333336,78.06666666666666,287.2,354.3333333333333
2021-06-02,6,2021-06-02,24.97333333333334,38.54666666666667,73.73333333333333,992.0133333333334,124.8,1.686666666666667,378.93333333333334,192.8,471.3333333333333
2021-06-03,6,2021-06-03,22.726666666666667,42.513333333333335,86.13333333333334,991.3666666666668,121.73333333333333,1.36,37.4,67.66666666666667,83.46666666666667
2021-06-04,6,2021-06-04,22.56,42.84,85.46666666666667,991.2066666666666,93.73333333333333,2.2133333333333334,116.8,239.26666666666668,341.53333333333336
2021-06-05,6,2021-06-05,24.280000000000005,38.693333333333335,77.53333333333333,988.88,174.13333333333333,1.66,84.8,161.33333333333334,233.53333333333333
2021-06-06,6,2021-06-06,26.020000000000003,39.32,75.2,985.7866666666667,170.66666666666666,3.6866666666666665,280.0,215.73333333333332,418.0
2021-06-07,6,2021-06-07,27.41333333333333,45.846666666666664,78.06666666666666,985.7066666666666,162.66666666666666,4.513333333333334,67.86666666666666,238.53333333333333,275.4
2021-06-08,6,2021-06-08,28.619999999999997,43.55333333333333,73.8,988.9266666666667,169.13333333333333,5.066666666666666,71.0,286.73333333333335,342.2
2021-06-09,6,2021-06-09,28.720000000000002,38.699999999999996,72.86666666666666,991.3866666666665,173.93333333333334,5.253333333333332,225.93333333333334,240.93333333333334,426.6
2021-06-10,6,2021-06-10,28.82,34.946666666666665,68.73333333333333,990.6800000000001,179.86666666666667,4.8533333333333335,351.8666666666667,194.6,479.2
2021-06-11,6,2021-06-11,29.0,32.28,64.93333333333334,988.5066666666665,183.53333333333333,5.180000000000001,335.53333333333336,184.93333333333334,441.3333333333333
2021-06-12,6,2021-06-12,29.573333333333334,31.83333333333333,63.13333333333333,989.6066666666666,173.8,3.5133333333333336,472.6,185.06666666666666,507.93333333333334
2021-06-13,6,2021-06-13,31.433333333333337,38.193333333333335,56.06666666666667,990.92,176.26666666666668,2.086666666666667,578.0,116.4,544.7333333333333
2021-06-14,6,2021-06-14,32.79333333333333,39.82,47.93333333333333,990.4866666666665,153.13333333333333,2.7733333333333334,502.8666666666667,160.93333333333334,517.4666666666667
2021-06-15,6,2021-06-15,32.273333333333326,37.12,48.46666666666667,991.4866666666668,54.0,3.5133333333333336,472.1333333333333,172.93333333333334,518.6666666666666
2021-06-16,6,2021-06-16,31.32666666666667,34.673333333333325,47.93333333333333,992.2533333333334,73.33333333333333,3.3666666666666667,566.0666666666667,124.46666666666667,545.4666666666667
2021-06-17,6,2021-06-17,31.61333333333333,34.50666666666667,50.733333333333334,991.7733333333333,125.86666666666666,3.06,520.4666666666667,154.2,531.2666666666667
2021-06-18,6,2021-06-18,30.319999999999997,36.13999999999999,53.0,989.9000000000001,140.13333333333333,3.206666666666666,466.46666666666664,172.06666666666666,521.1333333333333
2021-06-19,6,2021-06-19,30.33333333333333,26.640000000000004,48.266666666666666,988.1800000000001,170.6,3.546666666666667,515.0666666666667,152.93333333333334,526.3333333333334
2021-06-20,6,2021-06-20,30.58666666666667,31.406666666666663,55.266666666666666,986.1999999999999,176.33333333333334,4.98,349.1333333333333,207.26666666666668,471.1333333333333
2021-06-21,6,2021-06-21,30.233333333333338,43.486666666666665,66.6,985.8266666666667,165.13333333333333,4.366666666666666,248.26666666666668,235.86666666666667,434.0
2021-06-22,6,2021-06-22,26.119999999999997,46.91333333333334,79.26666666666667,990.6333333333333,52.666666666666664,3.48,92.2,250.86666666666667,315.46666666666664
2021-06-23,6,2021-06-23,29.40666666666667,40.38666666666666,67.86666666666666,990.7800000000001,152.93333333333334,3.54,326.0,205.26666666666668,466.1333333333333
2021-06-24,6,2021-06-24,30.220000000000002,42.54666666666666,65.2,991.1666666666666,166.8,4.873333333333333,374.3333333333333,197.2,484.73333333333335
2021-06-25,6,2021-06-25,30.966666666666665,38.20666666666668,59.2,989.9399999999999,172.93333333333334,5.586666666666667,460.6,159.2,505.3333333333333
2021-06-26,6,2021-06-26,30.58666666666667,33.906666666666666,57.8,987.9266666666667,165.53333333333333,6.1933333333333325,380.0,189.66666666666666,478.6
2021-06-27,6,2021-06-27,28.526666666666667,45.64000000000001,66.73333333333333,988.8999999999999,100.4,2.8666666666666663,207.53333333333333,197.53333333333333,349.1333333333333
2021-06-28,6,2021-06-28,26.186666666666667,49.12666666666667,78.0,990.0466666666667,74.06666666666666,2.906666666666667,96.73333333333333,223.2,315.53333333333336
2021-06-29,6,2021-06-29,26.453333333333337,52.833333333333336,75.13333333333334,992.6133333333333,114.13333333333334,3.08,237.73333333333332,237.53333333333333,417.06666666666666
2021-06-30,6,2021-06-30,27.646666666666665,51.14,71.6,994.14,98.13333333333334,2.2,237.06666666666666,223.2,422.8
2021-07-01,7,2021-07-01,28.759999999999998,48.92,66.73333333333333,992.3133333333333,151.06666666666666,1.1666666666666667,378.26666666666665,202.86666666666667,459.8
2021-07-02,7,2021-07-02,30.299999999999997,50.686666666666675,61.0,990.84,157.53333333333333,1.7533333333333336,345.46666666666664,196.13333333333333,469.06666666666666
2021-07-03,7,2021-07-03,29.319999999999997,56.806666666666665,67.46666666666667,990.3866666666668,207.2,1.7200000000000002,96.2,278.1333333333333,336.4
2021-07-04,7,2021-07-04,27.173333333333332,55.593333333333334,78.86666666666666,990.1533333333333,122.8,1.74,49.06666666666667,202.93333333333334,243.93333333333334
2021-07-05,7,2021-07-05,27.72666666666667,54.62666666666667,74.46666666666667,989.7133333333333,134.93333333333334,2.44,28.666666666666668,246.73333333333332,269.93333333333334
2021-07-06,7,2021-07-06,26.113333333333333,53.2,82.33333333333333,989.7266666666667,123.73333333333333,3.086666666666667,246.93333333333334,195.8,405.73333333333335
2021-07-07,7,2021-07-07,25.573333333333334,47.25333333333333,80.66666666666667,989.6866666666666,109.66666666666667,3.42,233.0,231.6,417.6
2021-07-08,7,2021-07-08,25.66666666666667,51.56666666666667,82.13333333333334,989.7466666666666,92.86666666666666,3.38,260.53333333333336,227.06666666666666,393.1333333333333
2021-07-09,7,2021-07-09,23.939999999999998,58.07333333333334,91.53333333333333,991.9333333333335,117.46666666666667,5.073333333333333,0.0,160.26666666666668,160.26666666666668
2021-07-10,7,2021-07-10,27.35333333333333,50.41333333333333,75.2,993.0866666666667,161.93333333333334,4.4,252.66666666666666,204.26666666666668,415.0
2021-07-11,7,2021-07-11,28.733333333333334,42.86666666666667,67.53333333333333,992.2666666666667,188.0,4.213333333333333,235.66666666666666,228.53333333333333,397.4
